name,category,description,corner,center,count
"3♦️","hand",,,,1
"3♥️","hand",,,,1
"3♣️","hand",,,,1
"3♠️","hand",,,,1
"4♥️","hand",,,,1
"4♦️","hand",,,,1
"4♣️","hand",,,,1
"4♠️","hand",,,,1
"5♥️","hand",,,,1
"5♦️","hand",,,,1
"5♣️","hand",,,,1
"5♠️","hand",,,,1
"6♥️","hand",,,,1
"6♦️","hand",,,,1
"6♣️","hand",,,,1
"6♠️","hand",,,,1
"7♥️","hand",,,,1
"7♦️","hand",,,,1
"7♣️","hand",,,,1
"7♠️","hand",,,,1
"8♥️","hand",,,,1
"8♦️","hand",,,,1
"8♣️","hand",,,,1
"8♠️","hand",,,,1
"9♥️","hand",,,,1
"9♦️","hand",,,,1
"9♣️","hand",,,,1
"9♠️","hand",,,,1
"10♥️","hand",,,,1
"10♦️","hand",,,,1
"10♣️","hand",,,,1
"10♠️","hand",,,,1
"J♥️","hand",,,,1
"J♦️","hand",,,,1
"J♣️","hand",,,,1
"J♠️","hand",,,,1
"Q♥️","hand",,,,1
"Q♦️","hand",,,,1
"Q♣️","hand",,,,1
"Q♠️","hand",,,,1
"K♥️","hand",,,,1
"K♦️","hand",,,,1
"K♣️","hand",,,,1
"K♠️","hand",,,,1
"A♥️","hand",,,,1
"A♦️","hand",,,,1
"A♣️","hand",,,,1
"A♠️","hand",,,,1
"2♥️","hand",,,,1
"2♦️","hand",,,,1
"2♣️","hand",,,,1
"2♠️","hand",,,,1
"Coin","coin",,,"images/coin.png",500
