name,category,description,corner,center,count
"莲花 1","流派","莲花派流派牌。揭示阶段比较存活玩家的数字，较小者优先。","1","莲花",1
"莲花 2","流派","莲花派流派牌。揭示阶段比较存活玩家的数字，较小者优先。","2","莲花",1
"莲花 3","流派","莲花派流派牌。揭示阶段比较存活玩家的数字，较小者优先。","3","莲花",1
"莲花 4","流派","莲花派流派牌。揭示阶段比较存活玩家的数字，较小者优先。","4","莲花",1
"莲花 5","流派","莲花派流派牌。揭示阶段比较存活玩家的数字，较小者优先。","5","莲花",1
"仙鹤 1","流派","仙鹤派流派牌。揭示阶段比较存活玩家的数字，较小者优先。","1","仙鹤",1
"仙鹤 2","流派","仙鹤派流派牌。揭示阶段比较存活玩家的数字，较小者优先。","2","仙鹤",1
"仙鹤 3","流派","仙鹤派流派牌。揭示阶段比较存活玩家的数字，较小者优先。","3","仙鹤",1
"仙鹤 4","流派","仙鹤派流派牌。揭示阶段比较存活玩家的数字，较小者优先。","4","仙鹤",1
"仙鹤 5","流派","仙鹤派流派牌。揭示阶段比较存活玩家的数字，较小者优先。","5","仙鹤",1
"浪人","流派","奇数玩家时加入。浪人的目标是存活；若存活，自己抽取一枚荣誉标记。","","浪人",1
"密探 1","忍者","行动阶段的密探阶段打出。查看一名角色的流派牌。","1","密探",1
"密探 2","忍者","行动阶段的密探阶段打出。查看一名角色的流派牌。","2","密探",1
"密探 3","忍者","行动阶段的密探阶段打出。查看一名角色的流派牌。","3","密探",1
"密探 4","忍者","行动阶段的密探阶段打出。查看一名角色的流派牌。","4","密探",1
"密探 5","忍者","行动阶段的密探阶段打出。查看一名角色的流派牌。","5","密探",1
"密探 6","忍者","行动阶段的密探阶段打出。查看一名角色的流派牌。","6","密探",1
"隐士 1","忍者","行动阶段的隐士阶段打出。查看一名玩家的流派牌，并随机查看该玩家一张忍者牌。","1","隐士",1
"隐士 2","忍者","行动阶段的隐士阶段打出。查看一名玩家的流派牌，并随机查看该玩家一张忍者牌。","2","隐士",1
"隐士 3","忍者","行动阶段的隐士阶段打出。查看一名玩家的流派牌，并随机查看该玩家一张忍者牌。","3","隐士",1
"隐士 4","忍者","行动阶段的隐士阶段打出。查看一名玩家的流派牌，并随机查看该玩家一张忍者牌。","4","隐士",1
"隐士 5","忍者","行动阶段的隐士阶段打出。查看一名玩家的流派牌，并随机查看该玩家一张忍者牌。","5","隐士",1
"隐士 6","忍者","行动阶段的隐士阶段打出。查看一名玩家的流派牌，并随机查看该玩家一张忍者牌。","6","隐士",1
"百变者","忍者","骗徒阶段打出。查看两名玩家的流派牌；可秘密交换两人的流派牌后归还，也可只查看不交换。","1","百变",1
"掘墓人","忍者","骗徒阶段打出。查看中央弃牌中的 2 张忍者牌，选择 1 张加入手牌；可立即使用，也可留到后续阶段使用。","2","掘墓",1
"滋事者","忍者","骗徒阶段打出。查看 1 名玩家的流派牌；可选择是否公开该玩家身份。","3","滋事",1
"灵商","忍者","骗徒阶段打出。选择 1 名玩家，查看其流派牌或 1 枚荣誉标记；结算后可用自己的 1 枚荣誉标记交换对方 1 枚荣誉标记。","4","灵商",1
"盗贼","忍者","骗徒阶段打出。公开自己的流派牌，从 1 名荣誉标记数量多于自己的玩家处抢夺 1 枚荣誉标记。","5","盗贼",1
"断罪人","忍者","骗徒阶段打出。公开自己的流派牌，直接击杀 1 名玩家；该击杀无法被还施僧或寻道者响应。","6","断罪",1
"盲眼刺客 1","忍者","行动阶段的盲眼刺客阶段打出。击杀一名玩家。","1","刺客",1
"盲眼刺客 2","忍者","行动阶段的盲眼刺客阶段打出。击杀一名玩家。","2","刺客",1
"盲眼刺客 3","忍者","行动阶段的盲眼刺客阶段打出。击杀一名玩家。","3","刺客",1
"盲眼刺客 4","忍者","行动阶段的盲眼刺客阶段打出。击杀一名玩家。","4","刺客",1
"盲眼刺客 5","忍者","行动阶段的盲眼刺客阶段打出。击杀一名玩家。","5","刺客",1
"盲眼刺客 6","忍者","行动阶段的盲眼刺客阶段打出。击杀一名玩家。","6","刺客",1
"上忍 1","忍者","行动阶段的上忍阶段打出。查看一名玩家的流派牌，然后可以击杀该玩家。","1","上忍",1
"上忍 2","忍者","行动阶段的上忍阶段打出。查看一名玩家的流派牌，然后可以击杀该玩家。","2","上忍",1
"上忍 3","忍者","行动阶段的上忍阶段打出。查看一名玩家的流派牌，然后可以击杀该玩家。","3","上忍",1
"上忍 4","忍者","行动阶段的上忍阶段打出。查看一名玩家的流派牌，然后可以击杀该玩家。","4","上忍",1
"上忍 5","忍者","行动阶段的上忍阶段打出。查看一名玩家的流派牌，然后可以击杀该玩家。","5","上忍",1
"上忍 6","忍者","行动阶段的上忍阶段打出。查看一名玩家的流派牌，然后可以击杀该玩家。","6","上忍",1
"还施僧","忍者","特殊时机牌。当你被盲眼刺客或上忍指定击杀时亮出。你不会被击杀，改为击杀攻击者。不能响应断罪人的击杀。","","还施",1
"寻道者","忍者","特殊时机牌。当你被盲眼刺客或上忍击杀时亮出。你依然阵亡，但立即抽取 1 枚荣誉标记。不能响应断罪人的击杀。","","寻道",1
"首脑","忍者","特殊时机牌。揭示阶段且你存活时自动生效：你所属阵营直接赢得本轮；若浪人持有并存活，浪人单独赢得本轮。持有者阵亡则失效。","","首脑",1
"荣誉 2","荣誉","回合获胜后秘密抽取的荣誉标记，价值 2 分。","2","荣誉",4
"荣誉 3","荣誉","回合获胜后秘密抽取的荣誉标记，价值 3 分。","3","荣誉",4
"荣誉 4","荣誉","回合获胜后秘密抽取的荣誉标记，价值 4 分。","4","荣誉",4
