name,category,description,corner,center,count
"3♥️",,,,,1
"3♦️",,,,,1
"3♣️",,,,,1
"3♠️",,,,,1
"4♥️",,,,,1
"4♦️",,,,,1
"4♣️",,,,,1
"4♠️",,,,,1
"5♥️",,,,,1
"5♦️",,,,,1
"5♣️",,,,,1
"5♠️",,,,,1
"6♥️",,,,,1
"6♦️",,,,,1
"6♣️",,,,,1
"6♠️",,,,,1
"7♥️",,,,,1
"7♦️",,,,,1
"7♣️",,,,,1
"7♠️",,,,,1
"8♥️",,,,,1
"8♦️",,,,,1
"8♣️",,,,,1
"8♠️",,,,,1
"9♥️",,,,,1
"9♦️",,,,,1
"9♣️",,,,,1
"9♠️",,,,,1
"10♥️",,,,,1
"10♦️",,,,,1
"10♣️",,,,,1
"10♠️",,,,,1
"J♥️",,,,,1
"J♦️",,,,,1
"J♣️",,,,,1
"J♠️",,,,,1
"Q♥️",,,,,1
"Q♦️",,,,,1
"Q♣️",,,,,1
"Q♠️",,,,,1
"K♥️",,,,,1
"K♦️",,,,,1
"K♣️",,,,,1
"K♠️",,,,,1
"A♥️",,,,,1
"A♦️",,,,,1
"A♣️",,,,,1
"A♠️",,,,,1
"2♥️",,,,,1
"2♦️",,,,,1
"2♣️",,,,,1
"2♠️",,,,,1
"🤡♠️",,,,,1
"🤡♥️",,,,,1
